doc;tech;domain;country;result
carbodown.pdf;hard;energy transition;france;Very Unfavorable
carbon8.pdf;hard;energy transition;other;Out
carbyon2.pdf;hard;energy transition;other;Interesting
chemalive.pdf;soft;new materials;other;Very Unfavorable
chemicalnewtech.pdf;hard;energy transition;other;Out
cilkoa.pdf;hard;new materials;france;Very Unfavorable
cixten.pdf;hard;energy transition;france;Unfavorable
clhynn.pdf;hard;energy transition;france;Very Unfavorable
cognifab.pdf;soft;industry 4.0;france;Out
coldpad.pdf;hard;others;france;Unfavorable
coldpad2.pdf;hard;others;france;Unfavorable
companionenergy.pdf;soft;energy transition;benelux;Out
comppair.pdf;hard;new materials;other;Out
comsens.pdf;both;industry 4.0;benelux;Unfavorable
condugo.pdf;soft;energy transition;benelux;Very Unfavorable
cosmotech.pdf;soft;industry 4.0;france;Out
covess.pdf;hard;industry 4.0;benelux;Unfavorable
credoxys.pdf;hard;new materials;germany;Out
ctrlenergy.pdf;both;energy transition;france;Unfavorable
cybus.pdf;soft;industry 4.0;germany;Unfavorable
dacma.pdf;hard;energy transition;germany;Unfavorable
deephawk.pdf;soft;industry 4.0;france;Unfavorable
deloq.pdf;both;industry 4.0;benelux;Unfavorable
diamfab.pdf;hard;others;france;Out
dimpora.pdf;soft;new materials;other;Out
dionymer.pdf;hard;new materials;france;Very Unfavorable
dotocean.pdf;both;others;benelux;Out
dragonflypads2.pdf;both;others;france;Very Unfavorable
dronematrix.pdf;both;industry 4.0;benelux;Unfavorable
dropslab.pdf;soft;industry 4.0;benelux;
ecellix.pdf;hard;energy transition;other;Out
echemicles.pdf;hard;energy transition;other;Out
eco2grow.pdf;soft;energy transition;germany;Unfavorable
ecobot.pdf;both;industry 4.0;other;Unfavorable
edgetech.pdf;both;industry 4.0;france;Unfavorable
edock.pdf;both;others;benelux;Out
effectphotonics.pdf;hard;industry 4.0;benelux;Out
effitrax.pdf;soft;industry 4.0;benelux;Very Unfavorable
ehgroup.pdf;hard;energy transition;other;Out
electriq.pdf;hard;energy transition;other;Out
electrochaea.pdf;hard;energy transition;germany;Out
elugie.pdf;hard;energy transition;benelux;Out
enadyne.pdf;hard;energy transition;germany;Unfavorable
enhywhere2.pdf;hard;energy transition;france;Very Unfavorable
enosis.pdf;hard;energy transition;france;Interesting
enow.pdf;soft;energy transition;benelux;Unfavorable
enprove.pdf;soft;energy transition;benelux;Very Unfavorable
entent.pdf;hard;energy transition;france;Very Unfavorable
entras.pdf;soft;energy transition;benelux;Very Unfavorable
esnah.pdf;soft;others;benelux;Very Unfavorable
eternalpower.pdf;hard;energy transition;germany;Very Unfavorable
ethernics.pdf;both;energy transition;benelux;Very Unfavorable
everysens.pdf;soft;energy transition;france;Unfavorable
exomatter.pdf;soft;industry 4.0;germany;Unfavorable
extracthive.pdf;hard;new materials;france;Very Unfavorable
farwind.pdf;hard;energy transition;france;Very Unfavorable
fibersail2.pdf;hard;energy transition;other;Very Unfavorable
flasc.pdf;hard;energy transition;benelux;Unfavorable
flasc2.pdf;hard;energy transition;benelux;Unfavorable
flyability.pdf;both;industry 4.0;other;Out
flyability2.pdf;both;industry 4.0;other;Out
followinspiration.pdf;both;industry 4.0;other;
forecastyai.pdf;soft;industry 4.0;germany;Interesting
fountainfuel.pdf;hard;energy transition;benelux;Unfavorable
genesink.pdf;hard;new materials;france;Unfavorable
genhy.pdf;hard;energy transition;france;Unfavorable
geolith.pdf;hard;others;france;Very Unfavorable
getyourway.pdf;both;industry 4.0;benelux;Interesting
ghyga.pdf;hard;energy transition;france;Very Unfavorable
grandperspective.pdf;soft;industry 4.0;germany;Interesting
gravithy.pdf;hard;energy transition;france;Very Unfavorable
greengentech.pdf;hard;others;france;Out
greenyenergyag.pdf;hard;energy transition;other;Unfavorable
grizit.pdf;hard;industry 4.0;benelux;Unfavorable
grownbio.pdf;hard;others;benelux;Very Unfavorable
h2sys.pdf;hard;energy transition;france;Unfavorable
hace.pdf;hard;energy transition;france;Very Unfavorable
hawaitech.pdf;both;industry 4.0;france;Unfavorable
hbat.pdf;hard;energy transition;benelux;Very Unfavorable
heliac.pdf;hard;energy transition;other;Unfavorable
heliup2.pdf;hard;energy transition;france;Unfavorable
hevatech.pdf;hard;energy transition;france;Interesting
hexana.pdf;hard;energy transition;france;Unfavorable
hexana2.pdf;hard;energy transition;france;Very Unfavorable
highline.pdf;hard;new materials;germany;Very Unfavorable
hiqutediamond.pdf;hard;new materials;france;Very Unfavorable
hoeller.pdf;hard;energy transition;germany;Interesting
holosolis.pdf;hard;energy transition;france;Very Unfavorable
huskk.pdf;hard;industry 4.0;benelux;Unfavorable
hysilabs.pdf;hard;energy transition;france;Interesting
hyve.pdf;hard;energy transition;benelux;Interesting
hywaves.pdf;hard;energy transition;other;Very Unfavorable
icodos.pdf;hard;energy transition;germany;Interesting
imsystems.pdf;hard;industry 4.0;benelux;Interesting
independentlivingbase.pdf;hard;others;france;Out
ineratec.pdf;hard;energy transition;germany;Unfavorable
inflights.pdf;both;industry 4.0;benelux;Unfavorable
infrasolid.pdf;hard;industry 4.0;germany;Unfavorable
inphocal.pdf;hard;industry 4.0;benelux;Out
insens.pdf;soft;industry 4.0;benelux;Interesting
intelligentfluids.pdf;hard;others;germany;Out
internest.pdf;both;others;france;Very Unfavorable
inuse.pdf;soft;industry 4.0;france;Unfavorable
ipsumtek.pdf;both;industry 4.0;france;Very Unfavorable
iqunet.pdf;both;industry 4.0;benelux;Unfavorable
istya.pdf;both;industry 4.0;france;Unfavorable
kemiwatt.pdf;hard;energy transition;france;Unfavorable
kheoos.pdf;soft;industry 4.0;france;Interesting
laserco.pdf;hard;new materials;benelux;Unfavorable
leviathandynamics2.pdf;hard;energy transition;france;Unfavorable
lichens.pdf;hard;new materials;france;Out
lithcote.pdf;hard;energy transition;benelux;
litherm.pdf;hard;energy transition;germany;Unfavorable
maana.pdf;hard;energy transition;benelux;Unfavorable
magreesource.pdf;hard;new materials;france;Unfavorable
manaa.pdf;hard;energy transition;benelux;Unfavorable
matvision.pdf;both;industry 4.0;benelux;Interesting
mcve4.pdf;hard;industry 4.0;france;Very Unfavorable
meam.pdf;both;others;benelux;Out
mecabotix.pdf;hard;industry 4.0;france;Very Unfavorable
mecawareA.pdf;hard;energy transition;france;Very Unfavorable
metaliq.pdf;hard;energy transition;germany;
mirsense.pdf;hard;industry 4.0;france;Very Unfavorable
mitis.pdf;hard;energy transition;benelux;Unfavorable
mobenergy.pdf;hard;energy transition;france;Unfavorable
mobilitywork.pdf;soft;industry 4.0;france;Interesting
moiz.pdf;hard;energy transition;france;Unfavorable
molecularplasmagroup.pdf;hard;new materials;benelux;Interesting
muodim.pdf;both;energy transition;france;Unfavorable
myjiminy.pdf;soft;others;france;Out
nanoz.pdf;hard;industry 4.0;france;Unfavorable
nature2need.pdf;both;new materials;germany;Out
neextengineering.pdf;hard;energy transition;france;Unfavorable
nestwave.pdf;hard;industry 4.0;france;Unfavorable
nextind.pdf;both;industry 4.0;other;Very Unfavorable
nexwafe.pdf;hard;energy transition;germany;Very Unfavorable
nexxtlab.pdf;both;energy transition;benelux;Very Unfavorable
nimbleone.pdf;hard;industry 4.0;france;Very Unfavorable
nimesis.pdf;hard;new materials;france;Out
novacarbon.pdf;hard;new materials;france;Unfavorable
novali3.pdf;hard;energy transition;benelux;Very Unfavorable
novocycle.pdf;hard;energy transition;other;Interesting
novomof.pdf;hard;new materials;other;Unfavorable
oghji.pdf;both;energy transition;other;Very Unfavorable
ollow.pdf;hard;others;france;Unfavorable
onewatt.pdf;soft;industry 4.0;benelux;Unfavorable
oppr.pdf;soft;industry 4.0;benelux;Unfavorable
otiv.pdf;both;industry 4.0;benelux;Unfavorable
otiv2.pdf;both;industry 4.0;benelux;Unfavorable
ouat!.pdf;soft;industry 4.0;benelux;Unfavorable
oxylum.pdf;hard;energy transition;benelux;Unfavorable
packwise.pdf;both;industry 4.0;germany;Unfavorable
pathrobotics.pdf;soft;industry 4.0;other;Out
pepps.pdf;soft;industry 4.0;benelux;Interesting
phoenixai.pdf;soft;industry 4.0;benelux;Unfavorable
phytonics.pdf;hard;energy transition;germany;Very Unfavorable
polypea.pdf;hard;new materials;benelux;Out
powerlubecontrol.pdf;both;industry 4.0;benelux;Unfavorable
pozyx.pdf;both;industry 4.0;benelux;
propellane.pdf;hard;energy transition;france;Very Unfavorable
purenat2.pdf;hard;new materials;france;Unfavorable
pydro.pdf;soft;energy transition;germany;Unfavorable
qualitics.pdf;soft;energy transition;benelux;Interesting
reeverse.pdf;soft;industry 4.0;france;Unfavorable
rein4ced.pdf;hard;new materials;benelux;Out
rejuice.pdf;hard;energy transition;benelux;Interesting
renewind.pdf;hard;energy transition;benelux;Unfavorable
replace.pdf;hard;others;france;Unfavorable
ridergy.pdf;soft;industry 4.0;germany;Out
rift.pdf;hard;energy transition;benelux;Unfavorable
roav7.pdf;both;industry 4.0;france;Out
rosi.pdf;hard;energy transition;france;Interesting
roth2.pdf;hard;energy transition;france;Very Unfavorable
rovenso.pdf;hard;industry 4.0;other;Out
sakowin.pdf;hard;energy transition;france;Unfavorable
saturnetechnology.pdf;hard;industry 4.0;benelux;Unfavorable
senergetics.pdf;soft;industry 4.0;benelux;Unfavorable
senodis.pdf;both;industry 4.0;germany;Unfavorable
senorics.pdf;hard;industry 4.0;germany;Very Unfavorable
senseven.pdf;soft;industry 4.0;other;Out
sereema.pdf;soft;energy transition;france;Interesting
sesamm.pdf;soft;others;france;Very Unfavorable
shayp.pdf;soft;others;benelux;Interesting
sironatechnologies.pdf;hard;energy transition;benelux;Unfavorable
skydrone.pdf;hard;others;france;Unfavorable
sogilis.pdf;soft;industry 4.0;france;Unfavorable
soluterials.pdf;hard;new materials;germany;Unfavorable
soomiq.pdf;hard;energy transition;germany;Very Unfavorable
spark2.pdf;hard;energy transition;france;Unfavorable
spotlight.pdf;both;industry 4.0;france;Interesting
spreeinteractive.pdf;soft;others;germany;Out
squairtech.pdf;hard;new materials;france;Interesting
staaq.pdf;hard;energy transition;france;Very Unfavorable
stabilogreen.pdf;hard;new materials;benelux;Out
starcopter.pdf;hard;energy transition;germany;Unfavorable
stargate.pdf;hard;energy transition;other;Very Unfavorable
storh.pdf;hard;energy transition;other;Unfavorable
sublimeenergie.pdf;hard;energy transition;france;Unfavorable
sunlion.pdf;hard;energy transition;benelux;Very Unfavorable
sunmaxx.pdf;hard;energy transition;germany;Unfavorable
sunmaxx2.pdf;hard;energy transition;germany;Very Unfavorable
supairvision.pdf;both;energy transition;france;Interesting
swanh.pdf;hard;energy transition;france;Unfavorable
swoopenergy.pdf;hard;energy transition;france;Very Unfavorable
teeptrak2.pdf;both;industry 4.0;france;Unfavorable
terakalis.pdf;both;industry 4.0;france;Unfavorable
teratonics.pdf;hard;industry 4.0;france;Unfavorable
theyeq.pdf;both;industry 4.0;france;Unfavorable
threedy.pdf;soft;industry 4.0;germany;Very Unfavorable
tihive.pdf;both;industry 4.0;france;Unfavorable
turbit.pdf;soft;industry 4.0;germany;Unfavorable
twikit.pdf;soft;industry 4.0;benelux;Out
twinsity.pdf;soft;industry 4.0;germany;Unfavorable
variolytics.pdf;both;industry 4.0;germany;Very Unfavorable
vddtech.pdf;hard;industry 4.0;benelux;Out
vernaio.pdf;soft;industry 4.0;germany;Very Unfavorable
visplore.pdf;soft;industry 4.0;other;Unfavorable
vocsens.pdf;hard;industry 4.0;benelux;Interesting
voleatech.pdf;soft;industry 4.0;germany;Unfavorable
vulkam.pdf;hard;new materials;france;Out
wainvame.pdf;hard;industry 4.0;france;Unfavorable
watt4ever.pdf;hard;energy transition;benelux;Unfavorable
wattalps.pdf;hard;energy transition;france;Unfavorable
wayout.pdf;hard;others;other;Out
wespran.pdf;hard;energy transition;france;Unfavorable
wiidetect.pdf;soft;industry 4.0;france;Very Unfavorable
windfisher.pdf;hard;energy transition;france;Unfavorable
wizata.pdf;soft;industry 4.0;benelux;Out
worms2.pdf;hard;new materials;france;Unfavorable
xeryon.pdf;hard;industry 4.0;benelux;Unfavorable
yazzoom.pdf;soft;industry 4.0;benelux;
ysenergiesmarines.pdf;hard;energy transition;france;Very Unfavorable
zeppsolutions.pdf;hard;energy transition;benelux;Unfavorable
zorabots.pdf;soft;industry 4.0;benelux;Unfavorable
actronika.pdf;both;others;france;Very Unfavorable
adlc.pdf;soft;industrie 4.0;benelux;Very Unfavorable
airbooster.pdf;hard;energy transition;france;Very Unfavorable
akryvia.pdf;hard;others;france;Out
akvola.pdf;hard;others;germany;Very Unfavorable
<<<<<<< HEAD
aloecell.pdf;hard;energy transition;other;Very Unfavorable
=======
aloecell.pdf;hard;energy transition;autres;Very Unfavorable
>>>>>>> 2944fc531ee39121a5daacd5e446a52ba6b3cbca
angara.pdf;hard;energy transition;benelux;Very Unfavorable
anisoprint.pdf;both;new materials;benelux;Very Unfavorable
awakemobility.pdf;soft;others;germany;Out
brolz.pdf;soft;industrie 4.0;benelux;Unfavorable
dryad.pdf;hard;others;benelux;Out
<<<<<<< HEAD
ecop.pdf;hard;industrie 4.0;other;Out
=======
ecop.pdf;hard;industrie 4.0;autres;Out
>>>>>>> 2944fc531ee39121a5daacd5e446a52ba6b3cbca
effectsphotonics.pdf;hard;industrie 4.0;benelux;Out
holy.pdf;both;new materials;germany;Unfavorable
infiniciag.pdf;hard;new materials;germany;Unfavorable
ionics.pdf;hard;new materials;benelux;Out
japet.pdf;hard;industrie 4.0;france;Unfavorable
keeyaerogel.pdf;hard;new materials;france;Unfavorable
keeyaerogel2.pdf;hard;new materials;france;Very Unfavorable
keiron.pdf;hard;industrie 4.0;benelux;Very Unfavorable
komugi.pdf;soft;industrie 4.0;france;Unfavorable
kooping.pdf;soft;industrie 4.0;france;Unfavorable
lancey.pdf;hard;energy transition;france;Unfavorable
latannerievegetale.pdf;hard;others;france;Out
lionvolt.pdf;hard;energy transition;benelux;Very Unfavorable
machine2humansolutions.pdf;soft;industrie 4.0;germany;Unfavorable
mantispectra.pdf;soft;industrie 4.0;benelux;Unfavorable
mariepoppies.pdf;soft;others;benelux;Very Unfavorable
mcve.pdf;hard;industrie 4.0;france;Unfavorable
mcve3.pdf;hard;industrie 4.0;france;Unfavorable
mobito.pdf;soft;industrie 4.0;benelux;Out
<<<<<<< HEAD
neurala.pdf;soft;industrie 4.0;other;Very Unfavorable
=======
neurala.pdf;soft;industrie 4.0;autres;Very Unfavorable
>>>>>>> 2944fc531ee39121a5daacd5e446a52ba6b3cbca
nexxoil.pdf;hard;others;germany;Very Unfavorable
obeia.pdf;soft;industrie 4.0;france;Unfavorable
octofan.pdf;hard;others;france;Out
sesam.pdf;soft;others;france;Very Unfavorable
sylfen.pdf;hard;energy transition;france;Unfavorable
tiamat.pdf;hard;energy transition;france;Very Unfavorable
torwash.pdf;hard;energy transition;benelux;Unfavorable
<<<<<<< HEAD
tozero.pdf;hard;energy transition;germany;Interesting
=======
tozero.pdf;hard;energy transition;germany;Interessant
>>>>>>> 2944fc531ee39121a5daacd5e446a52ba6b3cbca
tractonomy.pdf;both;industrie 4.0;benelux;Unfavorable
turbulent.pdf;hard;energy transition;benelux;Unfavorable
uavia.pdf;soft;industrie 4.0;france;Unfavorable
uware.pdf;both;industrie 4.0;benelux;Very Unfavorable
uware2.pdf;both;industrie 4.0;benelux;Unfavorable
uze.pdf;hard;energy transition;benelux;Unfavorable
v2i.pdf;soft;industrie 4.0;benelux;Very Unfavorable
viridianlithium.pdf;hard;energy transition;france;Unfavorable
visiontechnology.pdf;hard;energy transition;france;Very Unfavorable
waterhorizon.pdf;hard;energy transition;france;Unfavorable
waterstuffsun.pdf;hard;energy transition;germany;Very Unfavorable
zensor.pdf;soft;industrie 4.0;benelux;Very Unfavorable
